------------------------ RESULTADOS ---------------------------

--- Minimo Soporte: 0.1 ------ Minima Confianza: 0.1 ---

---------------------------- REGLAS ------------------------------
Regla #: antecedente --> consecuente        soporte - confianza

Se generaron: 182 reglas

Regla 1: [6] --> [4]        S(0.571) - C(1.000)
Regla 2: [4] --> [6]        S(0.571) - C(0.800)
Regla 3: [5] --> [4]        S(0.429) - C(1.000)
Regla 4: [5] --> [6]        S(0.429) - C(1.000)
Regla 5: [5] --> [4, 6]        S(0.429) - C(1.000)
Regla 6: [5, 6] --> [4]        S(0.429) - C(1.000)
Regla 7: [4, 5] --> [6]        S(0.429) - C(1.000)
Regla 8: [1] --> [4]        S(0.429) - C(0.750)
Regla 9: [3] --> [1]        S(0.429) - C(0.750)
Regla 10: [1] --> [3]        S(0.429) - C(0.750)
Regla 11: [6] --> [5]        S(0.429) - C(0.750)
Regla 12: [6] --> [4, 5]        S(0.429) - C(0.750)
Regla 13: [4, 6] --> [5]        S(0.429) - C(0.750)
Regla 14: [4] --> [1]        S(0.429) - C(0.600)
Regla 15: [4] --> [5]        S(0.429) - C(0.600)
Regla 16: [4] --> [5, 6]        S(0.429) - C(0.600)
Regla 17: [1, 6] --> [4]        S(0.286) - C(1.000)
Regla 18: [3, 4] --> [1]        S(0.286) - C(1.000)
Regla 19: [1, 4] --> [6]        S(0.286) - C(0.667)
Regla 20: [1, 4] --> [3]        S(0.286) - C(0.667)
Regla 21: [1, 3] --> [4]        S(0.286) - C(0.667)
Regla 22: [6] --> [1]        S(0.286) - C(0.500)
Regla 23: [1] --> [6]        S(0.286) - C(0.500)
Regla 24: [3] --> [4]        S(0.286) - C(0.500)
Regla 25: [6] --> [1, 4]        S(0.286) - C(0.500)
Regla 26: [1] --> [4, 6]        S(0.286) - C(0.500)
Regla 27: [3] --> [1, 4]        S(0.286) - C(0.500)
Regla 28: [1] --> [3, 4]        S(0.286) - C(0.500)
Regla 29: [4, 6] --> [1]        S(0.286) - C(0.500)
Regla 30: [4] --> [3]        S(0.286) - C(0.400)
Regla 31: [4] --> [1, 6]        S(0.286) - C(0.400)
Regla 32: [4] --> [1, 3]        S(0.286) - C(0.400)
Regla 33: [2] --> [3]        S(0.143) - C(1.000)
Regla 34: [1, 5] --> [4]        S(0.143) - C(1.000)
Regla 35: [3, 6] --> [1]        S(0.143) - C(1.000)
Regla 36: [1, 5] --> [6]        S(0.143) - C(1.000)
Regla 37: [3, 5] --> [1]        S(0.143) - C(1.000)
Regla 38: [1, 5] --> [3]        S(0.143) - C(1.000)
Regla 39: [3, 6] --> [4]        S(0.143) - C(1.000)
Regla 40: [3, 5] --> [4]        S(0.143) - C(1.000)
Regla 41: [3, 6] --> [5]        S(0.143) - C(1.000)
Regla 42: [3, 5] --> [6]        S(0.143) - C(1.000)
Regla 43: [1, 5] --> [4, 6]        S(0.143) - C(1.000)
Regla 44: [3, 6] --> [1, 4]        S(0.143) - C(1.000)
Regla 45: [3, 5] --> [1, 4]        S(0.143) - C(1.000)
Regla 46: [1, 5] --> [3, 4]        S(0.143) - C(1.000)
Regla 47: [3, 6] --> [1, 5]        S(0.143) - C(1.000)
Regla 48: [3, 5] --> [1, 6]        S(0.143) - C(1.000)
Regla 49: [1, 5] --> [3, 6]        S(0.143) - C(1.000)
Regla 50: [3, 6] --> [4, 5]        S(0.143) - C(1.000)
Regla 51: [3, 5] --> [4, 6]        S(0.143) - C(1.000)
Regla 52: [3, 6] --> [1, 4, 5]        S(0.143) - C(1.000)
